title,link,company,location,description_summary
Programador SAP Fiori Front y Backend Semi Senior,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-programador-sap-fiori-front-y-backend-semi-senior-en-san-nicolas-69EF23292D0D7F4661373E686DCF3405#lc=ListOffers-Score6-7,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
Ref. 20137: Analista Programador .NET,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20137-analista-programador-net-presencial-belgrano-caba-en-belgrano-FA98F4B2360666B761373E686DCF3405#lc=ListOffers-Score6-8,ADN - Recursos Humanos,"Belgrano, Capital Federal",N/A (Not in list view)
Desarrollador Workflow Ssr SQL APIs,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-workflow-ssr-sql-apis-en-san-nicolas-11600E219E0265C461373E686DCF3405#lc=ListOffers-Score6-9,Gestion Compartida,"San Nicolás, Capital Federal",N/A (Not in list view)
Ref. 20232: Full Stack Developer NextJS y NodeJS / Híbrido,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20232-full-stack-developer-nextjs-y-nodejs-hibrido-3-veces-al-mes-oficina-villa-urquiza-caba-en-villa-urquiza-0A962F96B28216CB61373E686DCF3405#lc=ListOffers-Score6-10,ADN - Recursos Humanos,"Villa Urquiza, Capital Federal",N/A (Not in list view)
Desarrollador Python y AI Sr // Poyectos Bancarios,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-python-y-ai-sr-poyectos-bancarios-microcentro-caba-en-monserrat-D42C7487BE3E2FA961373E686DCF3405#lc=ListOffers-Score6-11,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Desarrollador Java/Node Senior,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-javanode-senior-en-san-nicolas-3C5BCF3C60DEF61561373E686DCF3405#lc=ListOffers-Score6-12,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
Desarrollador java Senior,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-java-senior-en-san-nicolas-EF6440765ED956F561373E686DCF3405#lc=ListOffers-Score6-13,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
Business developer Ssr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-business-developer-ssr-en-san-nicolas-3CCB6B1024E213BE61373E686DCF3405#lc=ListOffers-Score6-14,BDT Global,"San Nicolás, Capital Federal",N/A (Not in list view)
Desarrollador JAVA Ssr/Sr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-java-ssrsr-en-san-nicolas-E87E87A99C0F963961373E686DCF3405#lc=ListOffers-Score6-15,BDT Global,"San Nicolás, Capital Federal",N/A (Not in list view)
Desarrollador Node JS Senior,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-node-js-senior-en-san-nicolas-2CB1F823DAA05B5761373E686DCF3405#lc=ListOffers-Score6-16,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
